protocol_id,packet_sha256,text_hash,label,sample_id,audio_sha256,reviewer_pseudo_id,review_status,intelligible,russian_audible,lexical_content_preserved,severe_artifacts_absent,notes
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,00d78959ddf3e53dc29a3742d53cfcfc85a1ddebf3656934216242539849ca35,bonafide,common_voice_ru_v24:common_voice_ru_25836924,ff48ca1ef6fa481cd63d655b1bd77053d894c7f18502c08163e723ceb9a8a7e2,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,00d78959ddf3e53dc29a3742d53cfcfc85a1ddebf3656934216242539849ca35,spoof,stage_d_ru_dialogs_vits2_masha_neutral_v1:63218f16464db77de21e,8da90ecb6578a82d6765b94dbd8fd2aefc8381a47263b4126168358bdb41cc6f,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,02465160549355a4e80dad614ca7745a9df014484658df7ba9692bc3e7073311,bonafide,common_voice_ru_v24:common_voice_ru_20200314,97b602ace055ffa2d376816cc4cafeb22f1acf4c11d496da3b038e36fae1b0ec,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,02465160549355a4e80dad614ca7745a9df014484658df7ba9692bc3e7073311,spoof,stage_d_ru_dialogs_vits2_masha_neutral_v1:18576780e00da2f8f1c7,d4cc1f150d8622d054b9e6fd28d7342677ea0efe29b15b41310fe8d75d51d9ce,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,08132a5829906d007af02d8e465064faa31dc3d3eb0f48e4a1c3683f3c31c028,bonafide,common_voice_ru_v24:common_voice_ru_26908262,0c24926587fcfbb9232db8aa95f123afee0fcd7c9a1b7254cb6b1ae861300519,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,08132a5829906d007af02d8e465064faa31dc3d3eb0f48e4a1c3683f3c31c028,spoof,stage_d_ru_dialogs_vits2_masha_neutral_v1:da457eeaf80cd7ae828f,1c0262c92121293dec57d92d947d6510aec0d73f15e91d314b53c0287eb61812,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,090fe38c6c91e49baccfe0790cecdae7cb6df9018b9f26e4b09aaee4ffc16558,bonafide,common_voice_ru_v24:common_voice_ru_20399801,e95ffcc7a6e014bc2523dbdde24599681226cfb76a748c34402b5e11550a85b4,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,090fe38c6c91e49baccfe0790cecdae7cb6df9018b9f26e4b09aaee4ffc16558,spoof,stage_d_ru_dialogs_vits2_masha_neutral_v1:f186bc62462251fe66db,e3e91821ce6b17153a17d123de1204263586137c36676ed309db62e2d7c6462b,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,0d74ec6d7ff71e383e121880b8da45ad464dac2a05647f3abcdec6992b7624ac,bonafide,common_voice_ru_v24:common_voice_ru_37449138,1eaa2dcb72f48381a64d7c26cffee43324ceb00ea8f77bff9ad5e58614db554b,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,0d74ec6d7ff71e383e121880b8da45ad464dac2a05647f3abcdec6992b7624ac,spoof,stage_d_ru_dialogs_vits2_masha_neutral_v1:a3e5c0ff7fcf594a2ce2,8ef7d719aa9064437452b1bbc86219b911aa477cb6cbb410ffbc02a11944b79b,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,14e464b0c3e6b7818568b9a8fd16116952f7d91d2bcf4e948b9406844c234c52,bonafide,common_voice_ru_v24:common_voice_ru_19493072,fc43c64ce1214297a2f513c8103ad77e00f2197f85a522292324409a75f6a1da,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,14e464b0c3e6b7818568b9a8fd16116952f7d91d2bcf4e948b9406844c234c52,spoof,stage_d_ru_dialogs_vits2_masha_neutral_v1:5e0f54e6d1eae16fcb12,df72e5c0ff8fd4f7b0413b10096b512e69ea41b249eef956f5a308b8e59dd7a6,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,177d223cd941f61ed2aab646619c86bf2fb35cdc3b25b9a62bcaf5301e865012,bonafide,common_voice_ru_v24:common_voice_ru_28902791,627368ed96c189207ecdfd6babc5bcf6ec2e0426958ec18c3d372c03f8a27160,reviewer_2,pass,yes,yes,yes,yes,
stage-d-dialogs-ru-masha-neutral-acoustic-gate-v1,478b7b470c430423ce3c8eed51374fc7543c69934e18dfb305146d7fc9a4850b,177d223cd941f61ed2aab646619c86bf2fb35cdc3b25b9a62bcaf5301e865012,spoof,stage_d_ru_dialogs_vits2_masha_neutral_v1:14d2a78b1fb0aa2f885e,7687a2f81ebf668abfa87f59792f848df50675ea63b93313a1fe70633942a6fb,reviewer_2,pass,yes,yes,yes,yes,
