protocol_id,text_hash,sample_id,relative_path,audio_sha256,input_transcript
tone-speak-ru-acoustic-language-preservation-v1,9e5b6c4dc1dbb4bff1fd52ffca6e722a0a85287040ad00f53537ef4a92717f37,tone_speak_ru_v1:00013_coral,processed/c3/c3f003e66986eb50843422bcea4379857507533c710d626a44096e26608c1c12.wav,7580f3600fe9228b75764b3429abb51a17208bd6e11ef6faa3652a9b8a59d3ac,"Сегодня вечер обещает быть тихим и спокойным, идеальным для того, чтобы расслабиться с хорошей книгой в уютном кресле у камина."
tone-speak-ru-acoustic-language-preservation-v1,a6cc36dae04204a2a6743ca886bead356d0b5070c79d329d2fd1e0bae1d9bb7d,tone_speak_ru_v1:00063_alloy,processed/fb/fb3075177c5906f5fc83f1dd0d8f3e1b24e2d4ac76219c324446091c163ff615.wav,a88258e3e50f80e177bc745540362ea7ba95cd65aeaefe63139a7fdb7daa7ad2,"В тишине утреннего леса первые лучи солнца пробиваются сквозь листву, создавая удивительную игру света и тени на покрытой мхом земле, где каждое движение ветра кажется наполненным особой загадочностью."
tone-speak-ru-acoustic-language-preservation-v1,094ea65a4e36dcd57d6a99ad73afb15a08be075234863d37ccb43d4088bd8ea5,tone_speak_ru_v1:00070_echo,processed/b4/b45d42447398394e67b6129b1f16ffe1cd321c3b307dd0f6a42b64c6e83e2135.wav,b6017d3c90f44cdd3b178daf7d5e8b48b9183ed15a6f848c42837134f0b7b5cd,"Сегодня утром я прогулялся по парку, наслаждаясь теплым солнечным светом и свежим воздухом, который наполнял мою лёгкие ощущением свободы и спокойствия."
tone-speak-ru-acoustic-language-preservation-v1,c05cf967530fb0ea4ef396304133bd836eb48b513539913eb94cbff4a19decb3,tone_speak_ru_v1:00074_ash,processed/8c/8c46129882be03a2229eea615e72b04ed67c9352ad1c5be40560ff67040356ca.wav,f89b6aa8a937958d00e44888138fd51105e57d6452981188713e9a4299832890,"Сегодня утром, когда солнце только начало освещать город, воздух был особенно свежим и напоённым ароматами просыпающейся природы, что придавало особое настроение и вдохновение для новых свершений."
tone-speak-ru-acoustic-language-preservation-v1,b7d9304571004b3937fc4daf3fa1fba7446a1674f235074d71652479a9b1b40f,tone_speak_ru_v1:00086_ash,processed/a0/a00c84a4bfc24c0f4efc07a2d3dc45e3c6b109290eac850a30b06ba3872d3405.wav,708ab9d326bd11472e18043fcc13ea0e5b6a618ccc0a1b9d32a0806fc4b06576,"Вечером, когда солнце начинает нежно касаться горизонта, город наполняется золотистым светом и мягкой тишиной, словно природа готовится к ночному отдыху."
tone-speak-ru-acoustic-language-preservation-v1,6d805b81fd7e2687ae820969aab6c4fac4c859b7fdcd740bc475504e621f0c0d,tone_speak_ru_v1:00146_shimmer,processed/f1/f1eed02ce0a60e36ae4149eea97d640a2401d240db4111308d862640086cfbbc.wav,65f1a41e7ab7d004bf8e3015dd1e30388e7f1dee9981dc592861ba1c2ebe894c,"Сегодняшний вечер обещает быть особенно приятным, ведь свежий воздух и лёгкий ветерок создают идеальные условия для долгой прогулки по парку и размышлений о смысле жизни."
tone-speak-ru-acoustic-language-preservation-v1,accff33c0f6ffefd9ee9afc5d2d86224481d84c1cdcccbecf56cf186e9f82247,tone_speak_ru_v1:00508_fable,processed/fe/fea2e896dd2bbfe51b03a2fddc7b88d21f42c218784a16afede690b2712b042c.wav,587983cac13abdc262f6d04effba11cb6d71724dfc2c50315d9089068a5b3c3b,"Каждое утро лес наполняется мягким светом рассвета, который пробуждает все живое и наполняет воздух свежестью и надеждой на новый день."
tone-speak-ru-acoustic-language-preservation-v1,da989dedc7f124df4e1f331304686c6ac6aaa3c6d8ebef2a07de6d0fca728f17,tone_speak_ru_v1:00511_fable,processed/4f/4feb1920d1410c22048229755a479b5cc27b61b169a5eaf1d192266d55893b51.wav,0b0093ac0c48ab3a95f3daaa6a71117e1c63a9aaf50e50c0e3f27d8293b774d2,"В тихом лесу, где солнце ласково пробивается сквозь густую листву, раздаются нежные звуки пения птиц и шелест ветра, создавая атмосферу покоя и умиротворения."
tone-speak-ru-acoustic-language-preservation-v1,b6b9b9da03087739935721479d1ac95caec8b7c9680c9d30a5607c4b8a96dad4,tone_speak_ru_v1:00570_nova,processed/5e/5e250b467ebad54dcc46e5771f9ba799b75e219fa353a81ff6a0b5b3e4640e3d.wav,5616f5b2047ed690c7e9e7b8d79c4713b17dda8e627a40c14b44a9c6be41011e,"В современном мире умение быстро адаптироваться к новым условиям становится одним из ключевых навыков для достижения успеха в любой сфере деятельности, поэтому постоянное обучение и развитие крайне важны."
tone-speak-ru-acoustic-language-preservation-v1,b74eb380485817f4cda691d1b0fca7e567be00db2bd9a7ece7579c7462c627d4,tone_speak_ru_v1:00648_alloy,processed/f3/f356f0eb730b200f3db7ea44e3c2c9ac5059c8e741c81fa6b31036cf31561a14.wav,368ae88bc39f366aa0c262a9e78c2164ee11d67f10aa0976c54377db0fda4f25,"Весенний ветер нежно колышет ветви деревьев, наполняя воздух свежестью и пробуждая желание отправиться на прогулку в парк, где цветы начинают распускаться и птицы поют свои мелодичные песни."
tone-speak-ru-acoustic-language-preservation-v1,a571982f47dbc69ef0bd57f558ce12a0485a6c699908a2c7ddcd630b3f70f2ee,tone_speak_ru_v1:00705_shimmer,processed/bf/bf7a700d1caa63f5a4109e8944058ef0c3d22f273e4cc900f377b91e385aa94d.wav,690bca5e4329e185c845222012b791c677d32e0c192722a65a9f9b56bc46e372,"Сегодня утром лес выглядел особенно волшебно: густой туман нежно обвивал высокие деревья, а птицы своим пением создавали атмосферу умиротворения и спокойствия."
tone-speak-ru-acoustic-language-preservation-v1,adbe7412935b828e0d93db6ab1930c790e7775bf9b0cdf2e990d8034665e78ec,tone_speak_ru_v1:00718_sage,processed/a2/a277caa03a70ff7f4f55117df9564dd8eaf2614f5b271cbe4a37f5fb0ed3446b.wav,d07a2ae27b4d71d113cc655a417734a2ffea44d52fb8c14b00056ab1b7ca809a,"Сегодня утром солнечный свет мягко проникал сквозь листья деревьев, создавая атмосферу спокойствия и умиротворённости в парке, где птицы радостно пели свои мелодичные песни."
tone-speak-ru-acoustic-language-preservation-v1,c389b3fc0c6d85e1637dc926a2ccec928161c09600c5e6f77597bb4a012d1ca2,tone_speak_ru_v1:00770_echo,processed/9a/9a88751030fa6c4688563397a3abee32b994ede8bb8e05069f25489b0eaf4456.wav,3c28d20c5afa191893b9e72cdac1e9a7cd83c549838e0591f4bc786931221b65,"В тихом осеннем парке листья медленно опадают на землю, создавая мягкий ковер из ярких оттенков желтого, оранжевого и красного, а прохожие неспешно прогуливаются, наслаждаясь прохладой и свежестью воздуха."
tone-speak-ru-acoustic-language-preservation-v1,55571f6faba97c07fd0cbb8bfd0076ae9072a9a9b857578f720ebb2d20f8a811,tone_speak_ru_v1:00800_shimmer,processed/45/453b555208f1c82ab13dbc200adbd630b5ddaa1badbb009b68b233f395ad1e54.wav,9c4b77cd1a8e400d70817aef43d033093c4fbfa611520aef5c59b9ba18719465,"Сегодня утром солнце мягко осветило улицы города, наполняя воздух свежестью и предвкушением нового, яркого дня, полного удивительных открытий и приятных встреч."
