protocol_id,packet_sha256,text_hash,label,sample_id,audio_sha256,reviewer_pseudo_id,review_status,russian_audible,lexical_content_preserved,notes
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,03a5dc2c7b176acb258a7bd0ed1b583152d0fcbfc4c694dd3e8dd46fe67e53bd,bonafide,google_fleurs_ru_v1:12963149649645294702,1af22ae8e42da989660d09b18543975d393af438857feae3e704c01f52a42d05,reviewer_2,pass,yes,yes,
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,03a5dc2c7b176acb258a7bd0ed1b583152d0fcbfc4c694dd3e8dd46fe67e53bd,spoof,fleurs_ru_v1_espeakng:ac3e3ca637550315,ecf5484d804b4a07936fd7a028e6529c83bd0719022c984d1f1123ad64389d96,reviewer_2,pass,yes,yes,
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,0909af674647610f4058766913f2b0ebfafda6bda3139a326bc1c3d1387139a6,bonafide,google_fleurs_ru_v1:4762983826031903139,a13b5bd612d468b3230b63581b0ba42a5ab09912aad40d33d3b915e40f94c2c4,reviewer_2,pass,yes,yes,
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,0909af674647610f4058766913f2b0ebfafda6bda3139a326bc1c3d1387139a6,spoof,fleurs_ru_v1_espeakng:4f62ed38fc0c73c1,8596f82bd7586cc64132a276b881d376a7f015fbee6f8b2b5f28944ec5cb2095,reviewer_2,pass,yes,yes,
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,0bd3dd4f17c09f1cf6b576e5b6a2d8153831692a73cb7aef3e0950b36702a758,bonafide,google_fleurs_ru_v1:7911126538049258283,82180a3f2996ee8376d4c86811422c7bd9f027037a477c311e0d12d4557627cf,reviewer_2,pass,yes,yes,
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,0bd3dd4f17c09f1cf6b576e5b6a2d8153831692a73cb7aef3e0950b36702a758,spoof,fleurs_ru_v1_espeakng:92b3287fd20fcc50,81187f0b63c146f931da9bc19adb52246d10d0f32cf8120d618af1655e571b51,reviewer_2,pass,yes,yes,
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,0f3fb4eebcdcaf4eaa6435ae0a6775dfdde53c0d7a9d3ae7682da5102b0caae1,bonafide,google_fleurs_ru_v1:7301951253069594099,6c26746dd012291d460029f218a14d19e42a622ac018424f9e3a6901688576c3,reviewer_2,pass,yes,yes,
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,0f3fb4eebcdcaf4eaa6435ae0a6775dfdde53c0d7a9d3ae7682da5102b0caae1,spoof,fleurs_ru_v1_espeakng:036cb3473185e7e0,d8e9f1684f722f4c58c8e3a7989b46124842e435179a95e8a6882750a70ca3d5,reviewer_2,pass,yes,yes,
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,10d74075499d78b41f522b4b2927efac03742ba9a7b39f6caf27743ac5c19d8a,bonafide,google_fleurs_ru_v1:4365641683488255825,7d55b3847cfeb6f3d6bd7e9a7f2dc5307b44f12d8274186cc865e9e60e5c96f7,reviewer_2,pass,yes,yes,
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,10d74075499d78b41f522b4b2927efac03742ba9a7b39f6caf27743ac5c19d8a,spoof,fleurs_ru_v1_espeakng:7d890e010a3d18a0,26cd10fc908764b33c0ec958751dd0ec459da8bac1c54dc439527e1b5082919d,reviewer_2,pass,yes,yes,
fleurs-ru-acoustic-language-preservation-v1,7aecbebbd91444fe75bf261c15715862a7bb194bb501e8862d01b3f02059ff40,157c3ab94eaadafd9b5cc3dce2e05a37cd8ccc04d6e6a5274108d2b2af32e7bd,bonafide,google_fleurs_ru_v1:8241125606551628287,9a844522aa52a78eb55c9be3887ddc979f29c0df8e289121a362563620e93c7f,reviewer_2,pass,yes,yes,
