archive_name,expected_size_bytes,sha256,pinned_revision,source_url
"ruasd-000000.tar","999813120","956efb0e1281ada0dcee6f2ed9498c454552be88b3e9784e52e70c3ef4dfcd67","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
"ruasd-000001.tar","1000581120","aef31acd23be37b8c61023894d533524a2bdc2c47ddf39045c7cbcacd3d2b9bf","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
"ruasd-000002.tar","1000837120","ed561d195cf746a99581ffdd87acf84cf5daf82967dc52e59b72d2c36652fe20","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
"ruasd-000003.tar","1000744960","372fa2ce646a4fac9fa0df256ca085b25404860495b8d8eaa0b2082a702d34cc","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
"ruasd-000004.tar","1001093120","2a775a848ca58e559eb7089cfb6e2e2d8d10ad0034e890d5b6f75bdc32adc8e8","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
"ruasd-000005.tar","999792640","779f49bec2e7d6ed43114d1300358eca38fcb2e48bd7a8a12d3edbdb502552de","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
"ruasd-000006.tar","1000161280","77812e42bde3a94b3394f1115a5df3064b097a5da0f2e0ccf0a9bc7039f84dc0","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
"ruasd-000007.tar","1000110080","788d3d68e08ffe3c39680bb0f596601608971a684c514ed72e49f29d2ace7096","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
"ruasd-000008.tar","1000335360","b7d4aa474ca52f9ac90c0a76627fd49c89870e0e4f06e0dbe746604c3bc70174","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
"ruasd-000009.tar","1000284160","f44f5113a80bfa83d9f3c2dd896413fcf0c0cb830ed511e04a32a49416cb4bfe","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
"ruasd-000010.tar","1000243200","c01bc7709013b42e4502334f36c6ee245be6b1eaabcd63f22cb61cf95a9b4820","fcbc87c57b54ef4f58e1135e2813f6f000c2b739","https://huggingface.co/datasets/lab260/RuASD/tree/fcbc87c57b54ef4f58e1135e2813f6f000c2b739"
