protocol_id,packet_sha256,sample_id,audio_sha256,reviewer_pseudo_id,review_status,speech_intelligible,lexical_content_preserved,language_preserved,severe_artifacts,notes
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:5441967112148885835,106e5b071696bfcd142c928c7bf840a79bdc32cf52008e4c7be1a19dc5af71a5,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:3edee929591474c45dae,f21472602382ecb352a5a185c47f1f70a6795008ca01de630cc5d51ca75c284f,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:68691979437085449,5fbc5d1fbc4b61e245806c4e20b45e417bc73e6960c4d8358762285258fc2a33,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:2e87e9c6c45516bc5327,80dd94aa3df3cab6597a4f66b6593e402c1705721c07ba600880312d2081639c,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:4176377830129139798,0d80d700a36ca1836bf103b9dcc9a83b53868040d76c2e900a125d887eb4455d,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:0e5b1815195833eade3b,9aad588a2f7ee296df46310f4684ddd2b194f684a270859da31bf7f735345d27,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:8464112013215071942,1837cbda9b0d6bff0a2cca60d4647ecec3e69aacb53ae85599c709389eda6751,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:4a51fde52e261c9db2ad,28af9611cdf4b6019703cc7b7a8a53ec62bc02f876c25a3e2474db7f2abc6ba5,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:3232833022373853340,aba9350552b12204aa473e8f074b6d879d56f60c5b56c80c8575b7736921dcf1,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:03d2e7ce3e264c852c2a,787a825b8bf3c8d3fa2bc63bcc345f0733f39564214f5a3d6e6a780f84b66da2,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:9128239331990226317,dac4db34667eaffea1a8e9425b4a7058ded55cab493015f502fe969f4b42fba1,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:11da543f4ba4cb100a70,6bfc68eac220ed866a6988ca313f778b6c2fc193131e376f2c76b1a81e3d26cc,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:8093254592564065976,300a89e142456617a1f154dc6f655d6435b8c20c0dfdf69327a01a9e131653e4,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:d5c28ab2a7d29a414fea,9eed030f7d6fc947732dd62ccc17890f16d2a4140b1ca715bce9ed0a59d98d98,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:1689270864764223577,a9c47f66532c1984b1ea971da2ecfd135901de14c9571d7cc4d57bce7a19e43f,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:ae41b2ce1c08a73c4bf1,08a371d3db8c4dcccd9bd70d56ceb8981acf43cbb186ab437b9dc4552957c05b,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:8642831348595196875,72e166a9a172c09f512399d7d2d6551a4f49e0ef5e8609293fc02e92bbbfe251,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:8d217344b2d1b30e9ad5,a853a90cedf41a1a0b1f637c4e3a9437ec9f28199c6355826e0a3ac5231e0664,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:5579036348319691671,e9fe3fe26bcc020f859490be246c5dd6d60fc31dc58fa0f76e1ad3f81ae5517f,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:d104f9958dcfc3207302,3a6e0a799c0b6f68dd9d06f380c74765f751d88a6e35678e478e871aeaf14599,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:15414619789671032262,90aa95b9b3eb22a7f60563bbe2d7ed54ff61db97032b0cd55485866e0e66a1c1,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:78267238443b5f09d480,fc63a9e4a75a8eb4628313a2fdd2fc630291b530d929d04574159dd5d70a064b,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:2514841010742434857,f000d337d7b67e070333945f7bf20bf4e1275466528dbfc2cf528313eb90eabb,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:f8b4d3cda0092f5c73f7,85b4e47300a29fa8cf39498c716120347fa2af942f5fb6aedc9d3dc37ba7044d,reviewer_1,pass,yes,yes,yes,no,
xlsr-sls-model-v4-final-reconciliation-v1,3f1f68f3a2c2445282bd807d87519e39fcb83e81b2b8019c10c4f42b9a7d6c7b,google_fleurs_kk_v1:2789416394983699768,35b195360cb96f2bcb9a94067c733a4f3ffbb9d336acc82df2de4edeeee3b571,reviewer_1,pass,yes,yes,yes,no,
