protocol_id,materialization_receipt_sha256,sample_id,pair_key,language,label,text_id,text_hash,audio_path,audio_sha256,source_text,synthesis_text,synthesis_text_sha256
xlsr-sls-model-v4-final-reconciliation-v1,61319e016e6e2c644330d18a03f1687db39de8b7e24bedb0329a1a5fd279cf35,google_fleurs_kk_v1:5441967112148885835,kk:183:de43ade76cf2f391ff1fa3342c35f001585929a1db8845b7ecc47997d8bef651,kk,bonafide,google_fleurs_kk_v1:prompt:1,de43ade76cf2f391ff1fa3342c35f001585929a1db8845b7ecc47997d8bef651,/home/ruslan/KazDeepScan/data/processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/22/22e4a261370284c42b98717fc9d0afea4607f6f40c6060f103d551df82852832.wav,106e5b071696bfcd142c928c7bf840a79bdc32cf52008e4c7be1a19dc5af71a5,дүйсенбі күні стэнфорд университетінің медицина факультетінің ғалымдары жасушаларды түрі бойынша сұрыптай алатын жаңа диагностикалық құралды ойлап тапқанын жариялады бұл әрбірін шамамен бір ақш центке стандартты сиялы принтерлерді пайдаланып өндіруге болатын өте кішкентай басып шығаруға болатын чип,,
xlsr-sls-model-v4-final-reconciliation-v1,61319e016e6e2c644330d18a03f1687db39de8b7e24bedb0329a1a5fd279cf35,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:3edee929591474c45dae,kk:183:de43ade76cf2f391ff1fa3342c35f001585929a1db8845b7ecc47997d8bef651,kk,spoof,google_fleurs_kk_v1:prompt:1,de43ade76cf2f391ff1fa3342c35f001585929a1db8845b7ecc47997d8bef651,/home/ruslan/KazDeepScan/data/processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_spoof/24/24d9e9f1caf4e90e6c284098d4c051c198b13d1601a2b5c478c69d3e73ba5f97.wav,f21472602382ecb352a5a185c47f1f70a6795008ca01de630cc5d51ca75c284f,дүйсенбі күні стэнфорд университетінің медицина факультетінің ғалымдары жасушаларды түрі бойынша сұрыптай алатын жаңа диагностикалық құралды ойлап тапқанын жариялады бұл әрбірін шамамен бір ақш центке стандартты сиялы принтерлерді пайдаланып өндіруге болатын өте кішкентай басып шығаруға болатын чип,дүйсенбі күні стэнфорд университетінің медицина факультетінің ғалымдары жасушаларды түрі бойынша сұрыптай алатын жаңа диагностикалық құралды ойлап тапқанын жариялады бұл әрбірін шамамен бір ақш центке стандартты сиялы принтерлерді пайдаланып өндіруге болатын өте кішкентай басып шығаруға болатын чип,de43ade76cf2f391ff1fa3342c35f001585929a1db8845b7ecc47997d8bef651
xlsr-sls-model-v4-final-reconciliation-v1,61319e016e6e2c644330d18a03f1687db39de8b7e24bedb0329a1a5fd279cf35,google_fleurs_kk_v1:68691979437085449,kk:235:13ac8cc63d9a80394fa26aa69263082eb14aa888fa5b224aedcee924d32bf634,kk,bonafide,google_fleurs_kk_v1:prompt:10,13ac8cc63d9a80394fa26aa69263082eb14aa888fa5b224aedcee924d32bf634,/home/ruslan/KazDeepScan/data/processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/c4/c491339b9fb60227e2a4e175efefabf3b4013326113d31f33257cbfc9b7073c6.wav,5fbc5d1fbc4b61e245806c4e20b45e417bc73e6960c4d8358762285258fc2a33,11:20 уақытында полиция қарсылық білдіру құқығын және жолда көліктердің жиналуын теңестіру қажеттігі туралы айтып наразылық білдірушілердің жаяужолға оралуын сұрады,,
xlsr-sls-model-v4-final-reconciliation-v1,61319e016e6e2c644330d18a03f1687db39de8b7e24bedb0329a1a5fd279cf35,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:2e87e9c6c45516bc5327,kk:235:13ac8cc63d9a80394fa26aa69263082eb14aa888fa5b224aedcee924d32bf634,kk,spoof,google_fleurs_kk_v1:prompt:10,13ac8cc63d9a80394fa26aa69263082eb14aa888fa5b224aedcee924d32bf634,/home/ruslan/KazDeepScan/data/processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_spoof/b1/b153c8aa3bc51e818d0ce16db21f38844952a2cc571bc8510e4fc70964fe9580.wav,80dd94aa3df3cab6597a4f66b6593e402c1705721c07ba600880312d2081639c,11:20 уақытында полиция қарсылық білдіру құқығын және жолда көліктердің жиналуын теңестіру қажеттігі туралы айтып наразылық білдірушілердің жаяужолға оралуын сұрады,он бір:жиырма уақытында полиция қарсылық білдіру құқығын және жолда көліктердің жиналуын теңестіру қажеттігі туралы айтып наразылық білдірушілердің жаяужолға оралуын сұрады,fc260dbd444b5340e224226c7cf8a34e9849426a32a344309a9384348c76f9df
xlsr-sls-model-v4-final-reconciliation-v1,61319e016e6e2c644330d18a03f1687db39de8b7e24bedb0329a1a5fd279cf35,google_fleurs_kk_v1:4176377830129139798,kk:196:5f9364d65af52dcd28aaf16899481a6c2d422abec737b6e2421f725c58ca11e7,kk,bonafide,google_fleurs_kk_v1:prompt:1011,5f9364d65af52dcd28aaf16899481a6c2d422abec737b6e2421f725c58ca11e7,/home/ruslan/KazDeepScan/data/processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/47/47f5edeaf911e2a874033c8f30ea5ff2e98dc710684f2ce31bb07c18ed37b7d2.wav,0d80d700a36ca1836bf103b9dcc9a83b53868040d76c2e900a125d887eb4455d,француз шараптары көп бірақ жаңа зеландия мен австралиялық шараптар жақсы таралған,,
xlsr-sls-model-v4-final-reconciliation-v1,61319e016e6e2c644330d18a03f1687db39de8b7e24bedb0329a1a5fd279cf35,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:0e5b1815195833eade3b,kk:196:5f9364d65af52dcd28aaf16899481a6c2d422abec737b6e2421f725c58ca11e7,kk,spoof,google_fleurs_kk_v1:prompt:1011,5f9364d65af52dcd28aaf16899481a6c2d422abec737b6e2421f725c58ca11e7,/home/ruslan/KazDeepScan/data/processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_spoof/f1/f1d459c1328738943625ed6cc5efbbdc6fc991d1ea70cf4b209fc93f49aae447.wav,9aad588a2f7ee296df46310f4684ddd2b194f684a270859da31bf7f735345d27,француз шараптары көп бірақ жаңа зеландия мен австралиялық шараптар жақсы таралған,француз шараптары көп бірақ жаңа зеландия мен австралиялық шараптар жақсы таралған,5f9364d65af52dcd28aaf16899481a6c2d422abec737b6e2421f725c58ca11e7
xlsr-sls-model-v4-final-reconciliation-v1,61319e016e6e2c644330d18a03f1687db39de8b7e24bedb0329a1a5fd279cf35,google_fleurs_kk_v1:8464112013215071942,kk:449:7e10bf1f281757d1b4bacb334f5f96d4074ffaa5ee3185550c5d6279007d4301,kk,bonafide,google_fleurs_kk_v1:prompt:1012,7e10bf1f281757d1b4bacb334f5f96d4074ffaa5ee3185550c5d6279007d4301,/home/ruslan/KazDeepScan/data/processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/35/3569a7a009f1f7e97424f6423bb44af7e16ed331a3f63d67d2c6639082358686.wav,1837cbda9b0d6bff0a2cca60d4647ecec3e69aacb53ae85599c709389eda6751,инфрақызыл кескіндер түнгі және күндізгі температура ауытқулары олардың үңгірлер болуы ықтимал екенін көрсетеді,,
xlsr-sls-model-v4-final-reconciliation-v1,61319e016e6e2c644330d18a03f1687db39de8b7e24bedb0329a1a5fd279cf35,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:4a51fde52e261c9db2ad,kk:449:7e10bf1f281757d1b4bacb334f5f96d4074ffaa5ee3185550c5d6279007d4301,kk,spoof,google_fleurs_kk_v1:prompt:1012,7e10bf1f281757d1b4bacb334f5f96d4074ffaa5ee3185550c5d6279007d4301,/home/ruslan/KazDeepScan/data/processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_spoof/62/62b845594721d68ab7a63f6c34e84e6fc65f43201164f213fa8e1a2e9c466839.wav,28af9611cdf4b6019703cc7b7a8a53ec62bc02f876c25a3e2474db7f2abc6ba5,инфрақызыл кескіндер түнгі және күндізгі температура ауытқулары олардың үңгірлер болуы ықтимал екенін көрсетеді,инфрақызыл кескіндер түнгі және күндізгі температура ауытқулары олардың үңгірлер болуы ықтимал екенін көрсетеді,7e10bf1f281757d1b4bacb334f5f96d4074ffaa5ee3185550c5d6279007d4301
xlsr-sls-model-v4-final-reconciliation-v1,61319e016e6e2c644330d18a03f1687db39de8b7e24bedb0329a1a5fd279cf35,google_fleurs_kk_v1:3232833022373853340,kk:189:8726232ccc172dbd88f756c785488e6f09150c3bfe6358f7caa57d7d44ab80c2,kk,bonafide,google_fleurs_kk_v1:prompt:1017,8726232ccc172dbd88f756c785488e6f09150c3bfe6358f7caa57d7d44ab80c2,/home/ruslan/KazDeepScan/data/processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/0c/0cb5c2a4ee530034a77ff86627da3af9541da507751e9346abd00cc45a3cfec5.wav,aba9350552b12204aa473e8f074b6d879d56f60c5b56c80c8575b7736921dcf1,рок тобы 16 қыркүйекке дейін америка құрама штаттарында және канадада тур өткізуі керек еді,,
xlsr-sls-model-v4-final-reconciliation-v1,61319e016e6e2c644330d18a03f1687db39de8b7e24bedb0329a1a5fd279cf35,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:03d2e7ce3e264c852c2a,kk:189:8726232ccc172dbd88f756c785488e6f09150c3bfe6358f7caa57d7d44ab80c2,kk,spoof,google_fleurs_kk_v1:prompt:1017,8726232ccc172dbd88f756c785488e6f09150c3bfe6358f7caa57d7d44ab80c2,/home/ruslan/KazDeepScan/data/processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_spoof/22/227b126d9836f466f9fccf99921914d994b79f29029aa53235777975dc92ba41.wav,787a825b8bf3c8d3fa2bc63bcc345f0733f39564214f5a3d6e6a780f84b66da2,рок тобы 16 қыркүйекке дейін америка құрама штаттарында және канадада тур өткізуі керек еді,рок тобы он алты қыркүйекке дейін америка құрама штаттарында және канадада тур өткізуі керек еді,7968451209b0cbb6c6fa6a52f70d392911ccd99e8a008d501cb5f68133039905
